product_category_name,product_category_name_english
beleza_saude,health beauty
informatica_acessorios,computers accessories
automotivo,auto
cama_mesa_banho,bed bath table
moveis_decoracao,furniture decor
esporte_lazer,sports leisure
perfumaria,perfumery
utilidades_domesticas,housewares
telefonia,telephony
relogios_presentes,watches gifts
alimentos_bebidas,food drink
bebes,baby
papelaria,stationery
tablets_impressao_imagem,tablets printing image
brinquedos,toys
telefonia_fixa,fixed telephony
ferramentas_jardim,garden tools
fashion_bolsas_e_acessorios,fashion bags accessories
eletroportateis,small appliances
consoles_games,consoles games
audio,audio
fashion_calcados,fashion shoes
cool_stuff,cool stuff
malas_acessorios,luggage accessories
climatizacao,air conditioning
construcao_ferramentas_construcao,construction tools construction
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen dining laundry garden furniture
construcao_ferramentas_jardim,costruction tools garden
fashion_roupa_masculina,fashion male clothing
pet_shop,pet shop
moveis_escritorio,office furniture
market_place,market place
eletronicos,electronics
eletrodomesticos,home appliances
artigos_de_festas,party supplies
casa_conforto,home confort
construcao_ferramentas_ferramentas,costruction tools tools
agro_industria_e_comercio,agro industry and commerce
moveis_colchao_e_estofado,furniture mattress and upholstery
livros_tecnicos,books technical
casa_construcao,home construction
instrumentos_musicais,musical instruments
moveis_sala,furniture living room
construcao_ferramentas_iluminacao,construction tools lights
industria_comercio_e_negocios,industry commerce and business
alimentos,food
artes,art
moveis_quarto,furniture bedroom
livros_interesse_geral,books general interest
construcao_ferramentas_seguranca,construction tools safety
fashion_underwear_e_moda_praia,fashion underwear beach
fashion_esporte,fashion sport
sinalizacao_e_seguranca,signaling and security
pcs,computers
artigos_de_natal,christmas supplies
fashion_roupa_feminina,fashio female clothing
eletrodomesticos_2,home appliances 2
livros_importados,books imported
bebidas,drinks
cine_foto,cine photo
la_cuisine,la cuisine
musica,music
casa_conforto_2,home comfort 2
portateis_casa_forno_e_cafe,small appliances home oven and coffee
cds_dvds_musicais,cds dvds musicals
dvds_blu_ray,dvds blu ray
flores,flowers
artes_e_artesanato,arts and craftmanship
fraldas_higiene,diapers and hygiene
fashion_roupa_infanto_juvenil,fashion childrens clothes
seguros_e_servicos,security and services
